================================================================================
  J/L/P 파일 중국어(한자) 문자 완전 비교 분석 보고서
  생성일시: 2026-04-22 00:36:16
================================================================================

[1/5] J파일 텍스트 추출 중...
  J 원본: 1,036,441자 / J 최종본: 1,038,941자

[2/5] L파일 텍스트 추출 중...
  L 원본: 628,016자 / L 수동완료: 629,360자

[3/5] P파일 텍스트 추출 중...
  P 파일: 313,122자
  P 대체파일 존재함, 추출 중...
  P 대체파일: 313,122자

[4/5] J파일 중국어 문자 비교 분석...

================================================================================
  [J파일] 중국어(한자) 문자 완전 비교 분석
================================================================================

원본 중국어 문자 종류: 5,475개
최종본 중국어 문자 종류: 5,475개
원본 중국어 문자 총 출현: 141,326회
최종본 중국어 문자 총 출현: 141,240회
출현 차이: -86회

--- 중국어 문자 종류 변화 ---
원본에만 있는 문자 (삭제됨): 0개
최종본에만 있는 문자 (추가됨): 0개
공통 문자: 5475개

--- 중국어 문자 출현 빈도 변화 (공통 문자) ---
문자   코드               원본      최종본       차이 상태      
  范  U+8303            9        9       +0 동일
  蓐  U+84D0            2        2       +0 동일
  蘢  U+8622            1        1       +0 동일
  亷  U+4EB7            1        1       +0 동일
  膝  U+819D            1        1       +0 동일
  䁖  U+4056            2        2       +0 동일
  灾  U+707E           16       16       +0 동일
  䥥  U+4965            1        1       +0 동일
  戰  U+6230           12       12       +0 동일
  赃  U+8D43            1        1       +0 동일
  帥  U+5E25            2        2       +0 동일
  矛  U+77DB            4        4       +0 동일
  锢  U+9522            1        1       +0 동일
  荆  U+8346            1        1       +0 동일
  眉  U+7709           22       22       +0 동일
  船  U+8239           39       39       +0 동일
  倕  U+5015            2        2       +0 동일
  臁  U+81C1            2        2       +0 동일
  秘  U+79D8            8        8       +0 동일
  骥  U+9AA5            4        4       +0 동일
  㽁  U+3F41            1        1       +0 동일
  飗  U+98D7            6        6       +0 동일
  襕  U+8955            2        2       +0 동일
  逯  U+902F            2        2       +0 동일
  动  U+52A8          291      291       +0 동일
  紧  U+7D27           24       24       +0 동일
  腫  U+816B            1        1       +0 동일
  涖  U+6D96            1        1       +0 동일
  贰  U+8D30            1        1       +0 동일
  啃  U+5543            1        1       +0 동일
  氢  U+6C22            5        5       +0 동일
  萬  U+842C            3        3       +0 동일
  釕  U+91D5            2        2       +0 동일
  罍  U+7F4D            2        2       +0 동일
  雌  U+96CC            2        2       +0 동일
  凖  U+51D6            1        1       +0 동일
  逸  U+9038            9        9       +0 동일
  詔  U+8A54            1        1       +0 동일
  胡  U+80E1           20       20       +0 동일
  怎  U+600E           41       41       +0 동일
  侓  U+4F93         1751     1751       +0 동일
  上  U+4E0A          287      287       +0 동일
  泠  U+6CE0            6        6       +0 동일
  娘  U+5A18           26       26       +0 동일
  保  U+4FDD           47       47       +0 동일
  轤  U+8F64            1        1       +0 동일
  耸  U+8038            1        1       +0 동일
  斤  U+65A4            5        5       +0 동일
  笨  U+7B28            2        2       +0 동일
  果  U+679C           40       40       +0 동일
  痨  U+75E8            9        9       +0 동일
  菻  U+83FB            3        3       +0 동일
  扶  U+6276            5        5       +0 동일
  烘  U+70D8            6        6       +0 동일
  谓  U+8C13            4        4       +0 동일
  痣  U+75E3            2        2       +0 동일
  圝  U+571D            1        1       +0 동일
  俏  U+4FCF            1        1       +0 동일
  條  U+689D            4        4       +0 동일
  刀  U+5200           32       32       +0 동일
  坯  U+576F            2        2       +0 동일
  種  U+7A2E            4        4       +0 동일
  兑  U+5151            1        1       +0 동일
  獪  U+736A            1        1       +0 동일
  寂  U+5BC2            6        6       +0 동일
  咳  U+54B3            2        2       +0 동일
  你  U+4F60          178      178       +0 동일
  崘  U+5D18            1        1       +0 동일
  菔  U+83D4            3        3       +0 동일
  鮒  U+9B92            1        1       +0 동일
  疲  U+75B2            4        4       +0 동일
  泛  U+6CDB            2        2       +0 동일
  枷  U+67B7            8        8       +0 동일
  谛  U+8C1B            1        1       +0 동일
  纷  U+7EB7           19       19       +0 동일
  傷  U+50B7            7        7       +0 동일
  帝  U+5E1D           21       21       +0 동일
  帨  U+5E28            1        1       +0 동일
  滥  U+6EE5           35       35       +0 동일
  缗  U+7F17            1        1       +0 동일
  磁  U+78C1            8        8       +0 동일
  朦  U+6726            1        1       +0 동일
  菌  U+83CC           27       27       +0 동일
  善  U+5584           18       18       +0 동일
  擧  U+64E7            7        7       +0 동일
  爻  U+723B            7        7       +0 동일
  济  U+6D4E           18       18       +0 동일
  𥉳  U+25273           2        2       +0 동일
  营  U+8425           39       39       +0 동일
  霆  U+9706            6        6       +0 동일
  垮  U+57AE            1        1       +0 동일
  樣  U+6A23            3        3       +0 동일
  崩  U+5D29            6        6       +0 동일
  赞  U+8D5E            6        6       +0 동일
  祜  U+795C            1        1       +0 동일
  符  U+7B26            9        9       +0 동일
  火  U+706B           77       77       +0 동일
  挨  U+6328            2        2       +0 동일
  圩  U+5729            1        1       +0 동일
  鐸  U+9438            1        1       +0 동일
  柔  U+67D4            1        1       +0 동일
  钒  U+9492            2        2       +0 동일
  倖  U+5016            2        2       +0 동일
  帛  U+5E1B            2        2       +0 동일
  倢  U+5022            3        3       +0 동일
  吸  U+5438            8        8       +0 동일
  巧  U+5DE7           16       16       +0 동일
  墟  U+589F            1        1       +0 동일
  産  U+7523            6        6       +0 동일
  苦  U+82E6           46       46       +0 동일
  寮  U+5BEE            3        3       +0 동일
  擼  U+64FC            1        1       +0 동일
  鸬  U+9E2C            4        4       +0 동일
  盯  U+76EF            1        1       +0 동일
  级  U+7EA7           21       21       +0 동일
  宜  U+5B9C           14       14       +0 동일
  競  U+7AF6            1        1       +0 동일
  道  U+9053          148      148       +0 동일
  卤  U+5364           30       30       +0 동일
  壢  U+58E2            1        1       +0 동일
  欢  U+6B22           27       27       +0 동일
  頭  U+982D           11       11       +0 동일
  肯  U+80AF           10       10       +0 동일
  更  U+66F4           19       19       +0 동일
  倾  U+503E            5        5       +0 동일
  厲  U+53B2            3        3       +0 동일
  梦  U+68A6           19       19       +0 동일
  勃  U+52C3            1        1       +0 동일
  重  U+91CD           73       73       +0 동일
  珂  U+73C2            1        1       +0 동일
  啄  U+5544            1        1       +0 동일
  腐  U+8150            6        6       +0 동일
  龍  U+9F8D            8        8       +0 동일
  绎  U+7ECE            4        4       +0 동일
  栎  U+680E            7        7       +0 동일
  呈  U+5448            2        2       +0 동일
  柜  U+67DC           16       16       +0 동일
  鳞  U+9CDE           31       31       +0 동일
  壶  U+58F6            7        7       +0 동일
  银  U+94F6           17       17       +0 동일
  敛  U+655B           72       72       +0 동일
  菖  U+83D6            1        1       +0 동일
  杖  U+6756            1        1       +0 동일
  缕  U+7F15           14       14       +0 동일
  拒  U+62D2            6        6       +0 동일
  盖  U+76D6            8        8       +0 동일
  鹂  U+9E42            5        5       +0 동일
  歪  U+6B6A            3        3       +0 동일
  櫻  U+6AFB            1        1       +0 동일
  柁  U+67C1            1        1       +0 동일
  旯  U+65EF            4        4       +0 동일
  雷  U+96F7          108      108       +0 동일
  睦  U+7766            1        1       +0 동일
  底  U+5E95           25       25       +0 동일
  刚  U+521A           24       24       +0 동일
  醉  U+9189            7        7       +0 동일
  亰  U+4EB0            4        4       +0 동일
  臝  U+81DD            1        1       +0 동일
  俗  U+4FD7           38       38       +0 동일
  移  U+79FB           12       12       +0 동일
  驼  U+9A7C           10       10       +0 동일
  泯  U+6CEF            1        1       +0 동일
  备  U+5907           32       32       +0 동일
  徐  U+5F90            7        7       +0 동일
  揽  U+63FD           43       43       +0 동일
  鏐  U+93D0            1        1       +0 동일
  晶  U+6676           23       23       +0 동일
  厌  U+538C            3        3       +0 동일
  𥗽  U+255FD           1        1       +0 동일
  驳  U+9A73            2        2       +0 동일
  馅  U+9985            2        2       +0 동일
  爸  U+7238            6        6       +0 동일
  脐  U+8110            3        3       +0 동일
  鸨  U+9E28            8        8       +0 동일
  私  U+79C1           11       11       +0 동일
  迤  U+8FE4            1        1       +0 동일
  寸  U+5BF8            7        7       +0 동일
  灵  U+7075           77       77       +0 동일
  缝  U+7F1D           11       11       +0 동일
  棘  U+68D8            2        2       +0 동일
  兼  U+517C            3        3       +0 동일
  遢  U+9062            9        9       +0 동일
  陣  U+9663            4        4       +0 동일
  凄  U+51C4            7        7       +0 동일
  面  U+9762          156      156       +0 동일
  警  U+8B66           13       13       +0 동일
  筛  U+7B5B            3        3       +0 동일
  侔  U+4F94           11       11       +0 동일
  尬  U+5C2C            1        1       +0 동일
  霏  U+970F            2        2       +0 동일
  驴  U+9A74           19       19       +0 동일
  蔂  U+8502            2        2       +0 동일
  峭  U+5CED            3        3       +0 동일
  殯  U+6BAF            1        1       +0 동일
  聚  U+805A           20       20       +0 동일
  阃  U+9603            1        1       +0 동일
  骗  U+9A97            3        3       +0 동일
  伦  U+4F26           19       19       +0 동일
  莲  U+83B2           83       83       +0 동일
  冫  U+51AB            1        1       +0 동일
  眼  U+773C          104      104       +0 동일
  㼈  U+3F08            1        1       +0 동일
  癌  U+764C            2        2       +0 동일
  榴  U+69B4           11       11       +0 동일
  伭  U+4F2D            3        3       +0 동일
  祇  U+7947            1        1       +0 동일
  阎  U+960E            1        1       +0 동일
  栁  U+6801            1        1       +0 동일
  支  U+652F           22       22       +0 동일
  知  U+77E5           65       65       +0 동일
  婁  U+5A41            1        1       +0 동일
  歧  U+6B67            1        1       +0 동일
  涂  U+6D82            3        3       +0 동일
  泥  U+6CE5           13       13       +0 동일
  髑  U+9AD1            1        1       +0 동일
  今  U+4ECA           57       57       +0 동일
  瘘  U+7618            4        4       +0 동일
  陳  U+9673            3        3       +0 동일
  簾  U+7C3E            1        1       +0 동일
  桂  U+6842            6        6       +0 동일
  汞  U+6C5E            8        8       +0 동일
  椅  U+6905            4        4       +0 동일
  形  U+5F62          673      673       +0 동일
  损  U+635F            6        6       +0 동일
  垡  U+57A1            1        1       +0 동일
  泣  U+6CE3            4        4       +0 동일
  瀝  U+701D            2        2       +0 동일
  嫒  U+5AD2            2        2       +0 동일
  势  U+52BF           30       30       +0 동일
  假  U+5047           15       15       +0 동일
  镮  U+956E            1        1       +0 동일
  浊  U+6D4A            3        3       +0 동일
  亞  U+4E9E            8        8       +0 동일
  旁  U+65C1           15       15       +0 동일
  脔  U+8114            3        3       +0 동일
  痴  U+75F4            3        3       +0 동일
  陌  U+964C            3        3       +0 동일
  金  U+F90A           16       16       +0 동일
  呸  U+5478            1        1       +0 동일
  懍  U+61CD            1        1       +0 동일
  嘻  U+563B            2        2       +0 동일
  忍  U+5FCD            5        5       +0 동일
  甄  U+7504            1        1       +0 동일
  徒  U+5F92            9        9       +0 동일
  熏  U+718F            1        1       +0 동일
  扰  U+6270            1        1       +0 동일
  隊  U+968A            3        3       +0 동일
  召  U+53EC            3        3       +0 동일
  竟  U+7ADF            9        9       +0 동일
  寝  U+5BDD            2        2       +0 동일
  辣  U+8FA3           36       36       +0 동일
  数  U+6570          104      104       +0 동일
  浅  U+6D45            3        3       +0 동일
  蹶  U+8E76            3        3       +0 동일
  伊  U+4F0A            2        2       +0 동일
  剛  U+525B            2        2       +0 동일
  孕  U+5B55            2        2       +0 동일
  衝  U+885D            3        3       +0 동일
  诩  U+8BE9            1        1       +0 동일
  造  U+9020           30       30       +0 동일
  頤  U+9824            1        1       +0 동일
  锃  U+9503            3        3       +0 동일
  莅  U+8385           12       12       +0 동일
  愁  U+6101            8        8       +0 동일
  项  U+9879           17       17       +0 동일
  谰  U+8C30            3        3       +0 동일
  艻  U+827B            5        5       +0 동일
  性  U+6027          125      125       +0 동일
  蒼  U+84BC            2        2       +0 동일
  狩  U+72E9            1        1       +0 동일
  颏  U+988F            5        5       +0 동일
  藕  U+85D5            3        3       +0 동일
  属  U+5C5E           24       24       +0 동일
  躺  U+8EBA            2        2       +0 동일
  齋  U+9F4B            1        1       +0 동일
  蔺  U+853A            3        3       +0 동일
  銠  U+92A0            1        1       +0 동일
  利  U+F9DD            4        4       +0 동일
  鴷  U+9D37            1        1       +0 동일
  撅  U+6485            1        1       +0 동일
  陶  U+9676            3        3       +0 동일
  倭  U+502D            1        1       +0 동일
  咙  U+5499            3        3       +0 동일
  景  U+666F           30       30       +0 동일
  攸  U+6538            1        1       +0 동일
  蕭  U+856D            1        1       +0 동일
  贡  U+8D21            1        1       +0 동일
  聆  U+8046            5        5       +0 동일
  鱗  U+F9F2            3        3       +0 동일
  尾  U+5C3E           24       24       +0 동일
  顱  U+9871            1        1       +0 동일
  叹  U+53F9            6        6       +0 동일
  琉  U+7409            7        7       +0 동일
  禾  U+79BE            4        4       +0 동일
  糠  U+7CE0            2        2       +0 동일
  醴  U+91B4            3        3       +0 동일
  妃  U+5983            5        5       +0 동일
  岛  U+5C9B           12       12       +0 동일
  推  U+63A8           13       13       +0 동일
  抢  U+62A2           10       10       +0 동일
  呪  U+546A            1        1       +0 동일
  镦  U+9566            2        2       +0 동일
  港  U+6E2F           10       10       +0 동일
  爆  U+7206            8        8       +0 동일
  汁  U+6C41            1        1       +0 동일
  檐  U+6A90            4        4       +0 동일
  漪  U+6F2A            6        6       +0 동일
  帙  U+5E19            2        2       +0 동일
  餓  U+9913            1        1       +0 동일
  敦  U+6566            3        3       +0 동일
  茵  U+8335            2        2       +0 동일
  螲  U+87B2            2        2       +0 동일
  衬  U+886C            5        5       +0 동일
  纍  U+7E8D            2        2       +0 동일
  县  U+53BF           10       10       +0 동일
  錸  U+9338            1        1       +0 동일
  豫  U+8C6B            1        1       +0 동일
  紋  U+7D0B            5        5       +0 동일
  亦  U+4EA6            4        4       +0 동일
  齐  U+9F50           12       12       +0 동일
  塡  U+5861            1        1       +0 동일
  躲  U+8EB2            2        2       +0 동일
  羞  U+7F9E            2        2       +0 동일
  谗  U+8C17            1        1       +0 동일
  厢  U+53A2           11       11       +0 동일
  歛  U+6B5B            1        1       +0 동일
  缠  U+7F20            1        1       +0 동일
  逐  U+9010            4        4       +0 동일
  轉  U+8F49            8        8       +0 동일
  疽  U+75BD            2        2       +0 동일
  唡  U+5521            2        2       +0 동일
  胶  U+80F6           14       14       +0 동일
  残  U+6B8B           14       14       +0 동일
  灭  U+706D            9        9       +0 동일
  聽  U+807D            2        2       +0 동일
  嗣  U+55E3            3        3       +0 동일
  龍  U+F9C4            5        5       +0 동일
  壳  U+58F3            5        5       +0 동일
  枪  U+67AA           23       23       +0 동일
  荔  U+8354            6        6       +0 동일
  蝸  U+8778            1        1       +0 동일
  棉  U+68C9            5        5       +0 동일
  掷  U+63B7            1        1       +0 동일
  丢  U+4E22            7        7       +0 동일
  淋  U+6DCB           36       36       +0 동일
  魍  U+9B4D            1        1       +0 동일
  洲  U+6D32           10       10       +0 동일
  淚  U+F94D            2        2       +0 동일
  锻  U+953B            4        4       +0 동일
  靁  U+9741            1        1       +0 동일
  话  U+8BDD          118      118       +0 동일
  劑  U+5291            6        6       +0 동일
  虜  U+F936            1        1       +0 동일
  鲨  U+9CA8            3        3       +0 동일
  囫  U+56EB            1        1       +0 동일
  躪  U+8EAA            1        1       +0 동일
  蓮  U+F999            4        4       +0 동일
  蒹  U+84B9            1        1       +0 동일
  绮  U+7EEE            1        1       +0 동일
  萼  U+843C            1        1       +0 동일
  都  U+90FD          166      166       +0 동일
  暮  U+66AE            2        2       +0 동일
  泵  U+6CF5            7        7       +0 동일
  栽  U+683D            5        5       +0 동일
  玓  U+7393            1        1       +0 동일
  万  U+4E07           34       34       +0 동일
  微  U+5FAE           27       27       +0 동일
  砥  U+7825            2        2       +0 동일
  凸  U+51F8            1        1       +0 동일
  援  U+63F4            7        7       +0 동일
  電  U+96FB           14       14       +0 동일
  聋  U+804B           11       11       +0 동일
  芨  U+82A8            1        1       +0 동일
  遥  U+9065            7        7       +0 동일
  揉  U+63C9            1        1       +0 동일
  汛  U+6C5B            3        3       +0 동일
  列  U+5217           50       50       +0 동일
  碧  U+78A7            3        3       +0 동일
  松  U+677E           16       16       +0 동일
  嫘  U+5AD8            2        2       +0 동일
  奴  U+5974            5        5       +0 동일
  康  U+5EB7           13       13       +0 동일
  劳  U+52B3          170      170       +0 동일
  跳  U+8DF3           18       18       +0 동일
  茂  U+8302            1        1       +0 동일
  缔  U+7F14            1        1       +0 동일
  藥  U+85E5           12       12       +0 동일
  荡  U+8361           10       10       +0 동일
  欄  U+6B04            2        2       +0 동일
  训  U+8BAD            8        8       +0 동일
  饭  U+996D           29       29       +0 동일
  来  U+6765          376      376       +0 동일
  牵  U+7275            7        7       +0 동일
  僳  U+50F3            2        2       +0 동일
  脸  U+8138          123      123       +0 동일
  抽  U+62BD           12       12       +0 동일
  绫  U+7EEB            9        9       +0 동일
  垣  U+57A3            1        1       +0 동일
  摞  U+645E            3        3       +0 동일
  丈  U+4E08           11       11       +0 동일
  溜  U+6E9C           54       54       +0 동일
  夷  U+5937            8        8       +0 동일
  具  U+5177           27       27       +0 동일
  鵹  U+9D79            1        1       +0 동일
  打  U+6253           98       98       +0 동일
  雷  U+F949            6        6       +0 동일
  球  U+7403           53       53       +0 동일
  弢  U+5F22            1        1       +0 동일
  室  U+5BA4           28       28       +0 동일
  乒  U+4E52            3        3       +0 동일
  羅  U+7F85            4        4       +0 동일
  亘  U+4E98            1        1       +0 동일
  佩  U+4F69            4        4       +0 동일
  酰  U+9170            1        1       +0 동일
  欺  U+6B3A            5        5       +0 동일
  望  U+671B           36       36       +0 동일
  嗜  U+55DC            4        4       +0 동일
  仰  U+4EF0            2        2       +0 동일
  巨  U+5DE8            8        8       +0 동일
  營  U+71DF           10       10       +0 동일
  衫  U+886B            7        7       +0 동일
  玑  U+7391            1        1       +0 동일
  寶  U+5BF6            1        1       +0 동일
  倮  U+502E            4        4       +0 동일
  越  U+8D8A           29       29       +0 동일
  缤  U+7F24            1        1       +0 동일
  拼  U+62FC            4        4       +0 동일
  润  U+6DA6            5        5       +0 동일
  喊  U+558A            4        4       +0 동일
  帅  U+5E05            2        2       +0 동일
  发  U+53D1          128      128       +0 동일
  堵  U+5835            3        3       +0 동일
  禊  U+798A            1        1       +0 동일
  損  U+640D            1        1       +0 동일
  钥  U+94A5            1        1       +0 동일
  膦  U+81A6            2        2       +0 동일
  冠  U+51A0           15       15       +0 동일
  宮  U+5BAE            4        4       +0 동일
  终  U+7EC8           34       34       +0 동일
  柳  U+67F3           45       45       +0 동일
  踪  U+8E2A           13       13       +0 동일
  斕  U+6595            1        1       +0 동일
  燐  U+71D0            8        8       +0 동일
  鰊  U+9C0A            1        1       +0 동일
  珰  U+73F0            1        1       +0 동일
  吹  U+5439           23       23       +0 동일
  垢  U+57A2            2        2       +0 동일
  繁  U+7E41            3        3       +0 동일
  斥  U+65A5            1        1       +0 동일
  湷  U+6E77            1        1       +0 동일
  锄  U+9504            3        3       +0 동일
  楦  U+6966            1        1       +0 동일
  笠  U+7B20            2        2       +0 동일
  嘍  U+560D            2        2       +0 동일
  榜  U+699C           10       10       +0 동일
  粘  U+7C98            2        2       +0 동일
  款  U+6B3E           19       19       +0 동일
  哲  U+54F2            9        9       +0 동일
  疤  U+75A4            1        1       +0 동일
  验  U+9A8C           21       21       +0 동일
  壚  U+58DA            1        1       +0 동일
  耿  U+803F            1        1       +0 동일
  郡  U+90E1            3        3       +0 동일
  巹  U+5DF9            1        1       +0 동일
  醨  U+91A8            2        2       +0 동일
  激  U+6FC0           21       21       +0 동일
  鬟  U+9B1F            1        1       +0 동일
  赔  U+8D54            5        5       +0 동일
  涡  U+6DA1            4        4       +0 동일
  禮  U+F9B6            2        2       +0 동일
  廪  U+5EEA           10       10       +0 동일
  策  U+7B56           16       16       +0 동일
  宋  U+5B8B           19       19       +0 동일
  坠  U+5760            1        1       +0 동일
  钌  U+948C            6        6       +0 동일
  村  U+6751           29       29       +0 동일
  既  U+65E2            4        4       +0 동일
  腺  U+817A            6        6       +0 동일
  嫌  U+5ACC            3        3       +0 동일
  裹  U+88F9            1        1       +0 동일
  内  U+5185           34       34       +0 동일
  铎  U+94CE            2        2       +0 동일
  堠  U+5820            1        1       +0 동일
  綾  U+7DBE            4        4       +0 동일
  卢  U+5362           11       11       +0 동일
  表  U+8868           53       53       +0 동일
  監  U+76E3            3        3       +0 동일
  粝  U+7C9D            2        2       +0 동일
  违  U+8FDD            4        4       +0 동일
  仓  U+4ED3            7        7       +0 동일
  線  U+7DDA           21       21       +0 동일
  稀  U+7A00            4        4       +0 동일
  谷  U+8C37           17       17       +0 동일
  鲠  U+9CA0            1        1       +0 동일
  贿  U+8D3F            2        2       +0 동일
  扁  U+6241            2        2       +0 동일
  卒  U+5352            7        7       +0 동일
  位  U+4F4D           53       53       +0 동일
  侃  U+4F83            2        2       +0 동일
  靓  U+9753            5        5       +0 동일
  籨  U+7C68            1        1       +0 동일
  灼  U+707C            4        4       +0 동일
  剐  U+5250            3        3       +0 동일
  蘞  U+861E            1        1       +0 동일
  羲  U+7FB2            1        1       +0 동일
  廷  U+5EF7            7        7       +0 동일
  烺  U+70FA            2        2       +0 동일
  喻  U+55BB            1        1       +0 동일
  鎌  U+938C            2        2       +0 동일
  鹰  U+9E70            9        9       +0 동일
  咚  U+549A            1        1       +0 동일
  怨  U+6028            8        8       +0 동일
  踏  U+8E0F            1        1       +0 동일
  龜  U+F908            1        1       +0 동일
  咐  U+5490            1        1       +0 동일
  裟  U+88DF            1        1       +0 동일
  宴  U+5BB4            4        4       +0 동일
  竭  U+7AED            3        3       +0 동일
  聲  U+8072            7        7       +0 동일
  渐  U+6E10            4        4       +0 동일
  堤  U+5824            5        5       +0 동일
  虐  U+8650            2        2       +0 동일
  鎦  U+93A6            2        2       +0 동일
  類  U+F9D0           14       14       +0 동일
  簡  U+7C21            2        2       +0 동일
  誓  U+8A93            4        4       +0 동일
  铅  U+94C5            2        2       +0 동일
  窟  U+7A9F            2        2       +0 동일
  唠  U+5520           14       14       +0 동일
  現  U+73FE            1        1       +0 동일
  藉  U+85C9            4        4       +0 동일
  肝  U+809D           12       12       +0 동일
  撬  U+64AC            2        2       +0 동일
  蛾  U+86FE            3        3       +0 동일
  左  U+5DE6           12       12       +0 동일
  徘  U+5F98            1        1       +0 동일
  锋  U+950B            5        5       +0 동일
  砂  U+7802            7        7       +0 동일
  清  U+6E05           67       67       +0 동일
  监  U+76D1            5        5       +0 동일
  达  U+8FBE           35       35       +0 동일
  箅  U+7B85            4        4       +0 동일
  压  U+538B           22       22       +0 동일
  爬  U+722C            6        6       +0 동일
  别  U+522B           87       87       +0 동일
  剪  U+526A            4        4       +0 동일
  珞  U+73DE            6        6       +0 동일
  做  U+505A           66       66       +0 동일
  秀  U+79C0            7        7       +0 동일
  右  U+53F3            7        7       +0 동일
  病  U+75C5          113      113       +0 동일
  芽  U+82BD            5        5       +0 동일
  威  U+5A01           17       17       +0 동일
  𣗋  U+235CB           1        1       +0 동일
  划  U+5212           13       13       +0 동일
  篱  U+7BF1           20       20       +0 동일
  疹  U+75B9            2        2       +0 동일
  焚  U+711A            1        1       +0 동일
  何  U+4F55           26       26       +0 동일
  攒  U+6512            1        1       +0 동일
  蹇  U+8E47            3        3       +0 동일
  坎  U+574E            5        5       +0 동일
  闹  U+95F9           13       13       +0 동일
  制  U+5236           63       63       +0 동일
  难  U+96BE           66       66       +0 동일
  充  U+5145           15       15       +0 동일
  萨  U+8428            2        2       +0 동일
  基  U+57FA           25       25       +0 동일
  琢  U+7422            1        1       +0 동일
  預  U+9810            1        1       +0 동일
  述  U+8FF0            6        6       +0 동일
  劲  U+52B2           11       11       +0 동일
  詩  U+8A69           13       13       +0 동일
  瘾  U+763E            1        1       +0 동일
  亭  U+4EAD            7        7       +0 동일
  沸  U+6CB8            1        1       +0 동일
  𨽻  U+28F7B           1        1       +0 동일
  輕  U+8F15            1        1       +0 동일
  堡  U+5821            5        5       +0 동일
  呐  U+5450            2        2       +0 동일
  某  U+67D0            3        3       +0 동일
  冰  U+51B0           33       33       +0 동일
  粕  U+7C95            1        1       +0 동일
  苹  U+82F9            4        4       +0 동일
  酪  U+916A           18       18       +0 동일
  腦  U+8166            1        1       +0 동일
  兴  U+5174           22       22       +0 동일
  掯  U+63AF            2        2       +0 동일
  澤  U+6FA4            1        1       +0 동일
  洒  U+6D12            2        2       +0 동일
  糟  U+7CDF            8        8       +0 동일
  耞  U+801E            2        2       +0 동일
  堪  U+582A            6        6       +0 동일
  锦  U+9526            4        4       +0 동일
  據  U+64DA            1        1       +0 동일
  不  U+F967            5        5       +0 동일
  似  U+4F3C           20       20       +0 동일
  狭  U+72ED            1        1       +0 동일
  丫  U+4E2B            4        4       +0 동일
  荦  U+8366            6        6       +0 동일
  矩  U+77E9            6        6       +0 동일
  巒  U+5DD2            1        1       +0 동일
  漓  U+6F13            6        6       +0 동일
  槽  U+69FD            2        2       +0 동일
  悉  U+6089            5        5       +0 동일
  獵  U+F9A7            1        1       +0 동일
  幅  U+5E45            9        9       +0 동일
  慴  U+6174          172      172       +0 동일
  簏  U+7C0F            4        4       +0 동일
  鹚  U+9E5A            2        2       +0 동일
  洛  U+6D1B           24       24       +0 동일
  合  U+5408          139      139       +0 동일
  掮  U+63AE            1        1       +0 동일
  寄  U+5BC4            7        7       +0 동일
  驛  U+9A5B            2        2       +0 동일
  呤  U+5464            3        3       +0 동일
  米  U+7C73           36       36       +0 동일
  圹  U+5739            1        1       +0 동일
  殳  U+6BB3            1        1       +0 동일
  袜  U+889C            1        1       +0 동일
  庶  U+5EB6            2        2       +0 동일
  闪  U+95EA           13       13       +0 동일
  绶  U+7EF6            1        1       +0 동일
  挫  U+632B            4        4       +0 동일
  累  U+7D2F          137      137       +0 동일
  辩  U+8FA9            6        6       +0 동일
  活  U+6D3B           72       72       +0 동일
  铼  U+94FC            7        7       +0 동일
  统  U+7EDF           26       26       +0 동일
  留  U+F9CD            1        1       +0 동일
  习  U+4E60           23       23       +0 동일
  瘩  U+7629            2        2       +0 동일
  禽  U+79BD            3        3       +0 동일
  争  U+4E89           28       28       +0 동일
  虜  U+865C            1        1       +0 동일
  鉴  U+9274            1        1       +0 동일
  緞  U+7DDE            1        1       +0 동일
  稼  U+7A3C            4        4       +0 동일
  祝  U+795D            6        6       +0 동일
  鄙  U+9119            1        1       +0 동일
  旅  U+65C5           86       86       +0 동일
  讳  U+8BB3            3        3       +0 동일
  匲  U+5332            1        1       +0 동일
  妪  U+59AA            2        2       +0 동일
  璁  U+7481            4        4       +0 동일
  資  U+8CC7            6        6       +0 동일
  拘  U+62D8            6        6       +0 동일
  让  U+8BA9           48       48       +0 동일
  茬  U+832C            7        7       +0 동일
  注  U+6CE8           14       14       +0 동일
  旒  U+65D2            3        3       +0 동일
  处  U+5904           57       57       +0 동일
  蹚  U+8E5A            1        1       +0 동일
  紀  U+7D00            6        6       +0 동일
  潺  U+6F7A            4        4       +0 동일
  繚  U+7E5A            1        1       +0 동일
  林  U+6797           90       90       +0 동일
  捏  U+634F            2        2       +0 동일
  唱  U+5531           20       20       +0 동일
  眬  U+772C            3        3       +0 동일
  瘤  U+7624            8        8       +0 동일
  叛  U+53DB            5        5       +0 동일
  樊  U+6A0A            1        1       +0 동일
  榈  U+6988            3        3       +0 동일
  迁  U+8FC1            6        6       +0 동일
  所  U+6240           62       62       +0 동일
  植  U+690D          209      209       +0 동일
  钜  U+949C            1        1       +0 동일
  箔  U+7B94            1        1       +0 동일
  晔  U+6654            2        2       +0 동일
  𦌊  U+2630A           2        2       +0 동일
  擊  U+64CA            2        2       +0 동일
  戶  U+6236            4        4       +0 동일
  慰  U+6170            4        4       +0 동일
  仿  U+4EFF            7        7       +0 동일
  飮  U+98EE            1        1       +0 동일
  廢  U+5EE2            3        3       +0 동일
  概  U+6982            4        4       +0 동일
  促  U+4FC3            3        3       +0 동일
  乍  U+4E4D            1        1       +0 동일
  辟  U+8F9F            1        1       +0 동일
  挤  U+6324            5        5       +0 동일
